US_ID,Service,User_Story,Method,Endpoint,Request_Example,Response_Example,Validations,Process,Events
1,HL7 Parser,Ingest HL7 v2 message,POST,/api/v1/hl7-parser/ingest,"Content-Type: application/hl7-v2
MSH|^~\&|...","{""messageId"":""MSG001"",""correlationId"":""corr-uuid-123"",""status"":""accepted""}",MSH present; unique Control ID; sending/receiving apps registered; HL7 ver 2.3–2.8,Validate → persist raw message → publish hl7.message.received → transform → publish fhir.resource.created,hl7.message.received; fhir.resource.created
2,HL7 Parser,Check parse status,GET,/api/v1/hl7-parser/parse-status/{messageId},—,"{""messageId"":""MSG001"",""status"":""processed"",""fhirResources"":[{""resourceType"":""Patient"",""id"":""patient-123""}],""errors"":[]}",MessageId exists,Lookup by messageId → return resource pointers + errors,—
3,HL7 Parser,Batch ingest HL7,POST,/api/v1/hl7-parser/batch,"{""batchId"":""batch-001"",""messages"":[{""messageId"":""MSG001"",""content"":""MSH|^~\\&|..."",""priority"":""normal""}]}","{""batchId"":""batch-001"",""totalMessages"":10,""processed"":8,""failed"":2,""status"":""partial_success""}",Per-message validations; idempotency,Iterate ingest path per message; collect results,hl7.message.received; fhir.resource.created
4,HL7 Parser,Validate registered applications,GET,/api/v1/hl7-parser/registered-apps,—,"{""apps"":[""SENDING_APP"",""RECEIVING_APP""]}",Secured endpoint; roles=admin/integration,Expose registry of allowed systems for HL7 gateway,—
5,HL7 Parser,Reprocess failed HL7,POST,/api/v1/hl7-parser/reprocess/{messageId},—,"{""messageId"":""MSG001"",""status"":""requeued""}",Only failed messages; rate-limit,Requeue to transformer; track correlation,hl7.message.received
6,Patient,Register patient,POST,/api/v1/patients,"{""resourceType"":""Patient"",""identifier"":[{""use"":""usual"",""value"":""MRN12345""}],""name"":[{""family"":""Doe"",""given"":[""John""]}],""gender"":""male"",""birthDate"":""1980-01-15""}","{""resourceType"":""Patient"",""id"":""patient-uuid-123"",""meta"":{""versionId"":""1""}}",≥1 identifier; name/gender/birthDate required; email/phone format; DOB not future; gender from ValueSet,Validate → persist FHIR → audit trail → emit events,patient.registered; audit.patient.created
7,Patient,Update profile,PUT,/api/v1/patients/{patientId},"{""resourceType"":""Patient"",""id"":""patient-uuid-123"",""name"":[{""family"":""Doe"",""given"":[""John"",""M""]}]}","{""resourceType"":""Patient"",""id"":""patient-uuid-123"",""meta"":{""versionId"":""2""}}",Patient exists; permission; audit required,ACL → update → audit,patient.updated
8,Patient,Search patients,GET,/api/v1/patients/search?identifier=MRN12345&name=John&_fuzzy=true,—,"{""resourceType"":""Bundle"",""type"":""searchset"",""total"":1,""entry"":[{""resource"":{""resourceType"":""Patient"",""id"":""patient-uuid-123""}}]}",Param formats; fuzzy allowed,Build criteria → query index → Bundle,patient.search
9,Patient,Merge duplicates,POST,/api/v1/patients/{sourceId}/merge/{targetId},"{""reason"":""Duplicate records"",""mergeStrategy"":""keep_latest"",""fields"":[""contact"",""address""],""auditReason"":""DQ improvement""}","{""status"":""merged"",""resultPatientId"":""patient-uuid-123"",""mergedFields"":[""telecom"",""address""],""auditId"":""audit-uuid-456""}",Both IDs exist; role allows; full audit,Choose winner → merge fields → link → audit,patient.merged; audit.logged
10,Patient,Export record,GET,"/api/v1/patients/{patientId}/export?format=pdf&includeSections=demographics,vitals",—,"{""exportId"":""export-uuid-789"",""status"":""completed"",""downloadUrl"":""/api/v1/exports/export-uuid-789/download"",""format"":""pdf""}",Authorization; section names; signed URL TTL,Assemble sections → render → sign URL,audit.logged
11,Patient,Set communication preferences,PUT,/api/v1/patients/{patientId}/communication,"{""preferredLanguage"":""en"",""channels"":[""email"",""sms""]}","{""status"":""updated""}",Valid channels; language code,Update extensions on Patient; persist,patient.updated
12,Patient,Record consent change,POST,/api/v1/patients/{patientId}/consent,"{""consentType"":""care-team-sharing"",""granted"":true,""timestamp"":""2023-09-01T12:00:00Z""}","{""status"":""recorded""}",Consent types valid; timestamp,Persist Consent resource & link to Patient,patient.consent.changed
